facilityId,facility_address_id,facility_address_sub_id,facility_address_effective_date
FAC000000400,FAC000000400,1,1999-01-29%2000:00:00.0
FAC000000400,FAC000000400,1,1999-01-29%2000:00:00.0
FAC000003600,FAC000003600,1,1998-02-06%2000:00:00.0
FAC000003600,FAC000003600,2,1998-02-06%2000:00:00.0
FAC000003700,FAC000003700,1,1997-12-03%2000:00:00.0
FAC000019800,FAC000019800,2,2001-02-01%2000:00:00.0
FAC000019800,FAC000019800,8,2016-06-01%2000:00:00.0
FAC000019800,FAC000019800,11,2016-06-01%2000:00:00.0
FAC000019800,FAC000019800,13,2018-11-15%2000:00:00.0
FAC000029900,FAC000029900,3,2004-02-03%2000:00:00.0
FAC000035600,FAC000035600,2,1998-02-06%2000:00:00.0
FAC000063100,FAC000063100,1,1993-06-18%2000:00:00.0
FAC000106600,FAC000106600,5,2005-01-01%2000:00:00.0
FAC000116400,FAC000116400,3,2007-12-15%2000:00:00.0
FAC000116400,FAC000116400,7,2013-11-21%2000:00:00.0
FAC000159600,FAC000159600,1,1993-06-18%2000:00:00.0
FAC002244300,FAC002244300,5,2005-01-01%2000:00:00.0
FAC002244300,FAC002244300,12,2012-08-01%2000:00:00.0
FAC002244300,FAC002244300,13,2013-03-01%2000:00:00.0
FAC002244300,FAC002244300,14,2013-06-28%2000:00:00.0
FAC002244300,FAC002244300,15,2014-10-01%2000:00:00.0
FAC002244300,FAC002244300,18,2019-06-01%2000:00:00.0